отчет;;;надо исправить;;было, надо;повтор;
24;Выручка от реализации Текущий год (ожидаемая);d22;стр71200_Гр4;;;;
;;;;;;;
25;Зерновые и зернобобовые Текущий год Площадь, га;c45;стр72110_Гр3;;;;
25;Подсолнечник Текущий год;c53;стр72133_Гр3;;;;
25;Картофель Текущий год;c57;стр72142_Гр3;;;;
25;Рапс Текущий год;c52;стр72132_Гр3;;;;
25;Овощи открытого грунта Текущий год;c56;стр72141_Гр3;;;;
25;Кукуруза Текущий год;c47;стр72112_Гр3;;;;
25;Коровы Текущий год;c67;стр72211_Гр3;;;;
25;КРС на откорме Текущий год;c69;стр72212_Гр3;;;;
25;Свиньи Текущий год;c74;стр72220_Гр3;;;;
25;Птицы, тыс. шт. Текущий год;?;;;;;
25;Птица на выращивании;c84;стр72252_Гр3;;;;
25;Птица на яйцо;c83;стр72251_Гр3;;;;
25;Овцы на выращивании;c79;стр72232_Гр3;;;;
25;Овцы шерсть;c77;стр72231_Гр3;;;;
;;;;;;;
26;Произведено, тонн Зерновые и зернобобовые (в бункерном весе) Текущий год;d45;стр72110_Гр4;;;повтор;
26;Произведено, тонн Подсолнечник (в бункерном весе) Текущий год;d53;стр72133_Гр4;;;повтор;
26;Произведено, тонн Кукуруза Текущий год;d47;стр72112_Гр4;;;;
26;Произведено, тонн Рапс Текущий год;d52;стр72132_Гр4;;;;
26;Произведено, тонн Картофель Текущий год;d57;стр72142_Гр4;;;повтор;
26;Произведено, тонн Овощи открытого грунта Текущий год;d56;стр72141_Гр4;;;;
26;Выращено (в живой массе), тонн КРС Текущий год;d69;стр72212_Гр4;;;повтор;
26;Выращено (в живой массе), тонн Свиней Текущий год;d74;стр72220_Гр4;;;повтор;
26;Выращено (в живой массе), тонн Овец Текущий год;d77;стр72231_Гр4;;;повтор;
26;Выращено (в живой массе), тонн Птицы Текущий год;d84;стр72252_Гр4;;;повтор;
26;Произведено, тонн Молока Текущий год;d67;стр72211_Гр4;;;повтор;
26;Произведено, тонн Яйцо, (тыс. шт.) Текущий год;d83;стр72251_Гр4;;;повтор;
